Tipologia di rifiuto differenziato,Anno,Territorio,Tipo dato,0,Flags
"totale","2011","Biella","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",294.94447,
"totale","2012","Biella","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",293.74356,
"totale","2000","Biella","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",25.10507,
"totale","2001","Biella","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",27.03617,
"totale","2002","Biella","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",27.39917,
"totale","2003","Biella","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",32.86327,
"totale","2004","Biella","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",35.98875,
"totale","2005","Biella","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",35.6495,
"totale","2006","Biella","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",34.02155,
"totale","2007","Biella","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",36.97675,
"totale","2008","Biella","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",52.03803,
